branch,skill,board,AZ_Select ,AZ_Eligible,Perc_AZ_Selects,BZ_Select ,BZ_Eligible,Perc_BZ_Selects,PZ_Select ,PZ_Eligible,Perc_PZ_Selects
AN,66B,COL,0,8,0.0,0,6,0.0,1,2,50.0
AN,66C,COL,0,0,0.0,0,1,0.0,0,0,0.0
AN,66E,COL,0,5,0.0,0,11,0.0,3,6,50.0
AN,66F,COL,0,2,0.0,0,11,0.0,3,11,27.3
AN,66G,COL,0,2,0.0,0,2,0.0,2,2,100.0
AN,66H,COL,2,22,9.1,0,18,0.0,4,17,23.5
AN,66P,COL,0,8,0.0,0,13,0.0,0,6,0.0
AN,66R,COL,0,2,0.0,0,2,0.0,0,0,0.0
AN,66S,COL,1,12,8.3,0,7,0.0,4,7,57.1
AN,66T,COL,0,4,0.0,0,7,0.0,2,4,50.0
AN,66W,COL,0,1,0.0,0,2,0.0,0,0,0.0
MS,67E,COL,1,6,16.7,0,5,0.0,4,0.25,1500.0
MS,67F,COL,2,10,20.0,0,3,0.0,2,0,1500.0
MS,67G,COL,0,2,0.0,0,0,0.0,0,0,200.0
MS,67J,COL,1,10,10.0,0,6,0.0,4,0.5,2000.0
MS,70A,COL,0,8,0.0,0,9,0.0,1,2,50.0
MS,70B,COL,0,0,0.0,0,0,0.0,0,0,0.0
MS,70C,COL,0,1,0.0,2,5,40.0,0,2,0.0
MS,70D,COL,0,5,0.0,0,4,0.0,1,3,33.3
MS,70E,COL,1,6,16.7,0,1,0.0,0,0,0.0
MS,70F,COL,0,12,0.0,0,7,0.0,1,4,25.0
MS,70H,COL,2,22,9.1,0,14,0.0,3,11,27.3
MS,70K,COL,0,16,0.0,0,19,0.0,3,8,37.5
MS,71A,COL,0,6,0.0,0,4,0.0,1,2,50.0
MS,71B,COL,0,4,0.0,0,6,0.0,1,6,16.7
MS,71E,COL,2,9,22.2,0,1,0.0,1,1,100.0
MS,71F,COL,1,4,25.0,0,1,0.0,1,2,50.0
MS,72A,COL,0,1,0.0,0,1,0.0,1,2,50.0
MS,72B,COL,1,4,25.0,0,2,0.0,0,0,0.0
MS,72C,COL,0,3,0.0,0,1,0.0,0,1,0.0
MS,72D,COL,1,10,10.0,0,6,0.0,1,3,33.3
